ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2018,1,LA ARAÑA,3.7,246,17,323892.4849,7.59511293,43,143,60,30.06993007,41.95804196,72.02797203,7,0,3,11009,5,3,0,0,0,0,687.310775,2.79394624,0,0,1,0,1,6,2.4423
2018,2,FABRICA CEMENTO,0,2,0,1146583.726,0,0,0,2,0,0,0,0,0,0,11009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2018,3,JARAZMIN,4.51,690,32,539769.9039,12.78322476,176,450,64,39.11111111,14.22222222,53.33333333,27,0,13,16443,1,3,1,8,0,0,2037.11518,2.952340841,0,0,0,0,1,0,3.1333
2018,4,EL CANDADO,7.39,1415,113,711852.9705,19.87770029,191,914,310,20.89715536,33.91684902,54.81400438,57,0,11,16443,3,8,21,126,0,0,824.086115,0.582393014,0,374,0,0,0,1,2.7797
2018,5,PLAYA VIRGINIA,4.66,588,40,60083.06456,97.86451545,70,405,113,17.28395062,27.90123457,45.18518519,17,0,3,11009,2,2,10,60,0,0,512.981209,0.872417022,0,474,0,1,0,1,2.4837
2018,6,EL CHANQUETE,0,209,8,56036.9396,37.29682625,26,140,43,18.57142857,30.71428571,49.28571429,7,0,1,11009,7,0,4,24,0,0,0,0,0,213,0,0,0,0,2.7662
2018,7,FINCA EL CANDADO,0,12,1,79527.21618,1.508917397,1,10,1,10,10,20,0,0,0,7677,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
2018,8,CAMINO DE OLIAS,0,0,0,99823.11028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,9,PODADERA,6.74,211,5,45203.89082,46.67739794,19,139,53,13.66906475,38.1294964,51.79856115,2,0,2,7677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6184
2018,10,MIRAFLORES ALTO,7.68,639,18,233082.6382,27.41516935,210,395,34,53.16455696,8.607594937,61.7721519,5,1,5,17873.0651,0,0,2,12,0,0,0,0,0,0,0,0,0,0,3.5053
2018,11,VIRGEN DE LAS ANGUSTIAS,4.14,589,48,17984.429,327.5055328,115,371,103,30.99730458,27.76280323,58.76010782,5,0,8,7677,0,0,0,0,0,0,231.439875,0.392936969,0,0,0,0,0,1,2.9752
2018,12,LA PELUSILLA,2.87,340,29,48598.17141,69.96148006,42,211,87,19.90521327,41.23222749,61.13744076,3,0,0,7677,0,1,3,20,2,83,0,0,0,101,0,0,0,1,2.6905
2018,13,LA PELUSA,4.61,820,47,77160.91932,106.271414,113,514,193,21.9844358,37.54863813,59.53307393,15,2,4,9709.7311,3,8,0,0,0,0,0,0,0,825,0,0,0,1,2.6719
2018,14,MIRAMAR DEL PALO,7.23,595,45,33390.3662,178.1951107,83,420,92,19.76190476,21.9047619,41.66666667,17,1,2,9411,3,4,4,22,0,0,245.926938,0.413322585,1,576,0,0,0,0,2.6667
2018,15,PLAYAS DEL PALO,8.83,892,61,171181.9648,52.10829314,106,536,250,19.7761194,46.64179104,66.41791045,7,0,8,7556,16,0,19,97,0,0,3345.296574,3.750332482,0,459,0,0,0,2,2.7212
2018,16,EL PALO,6.88,10139,1097,366257.4616,276.8271247,1498,6695,1946,22.37490665,29.06646751,51.44137416,218,0,81,9367.4922,44,120,57,288,4,98,1423.4607,0.140394585,0,4656,2,0,6,27,2.7094
2018,17,LAS CUEVAS,5.96,864,45,41002.23801,210.720205,146,580,138,25.17241379,23.79310345,48.96551724,13,1,9,8064.0512,0,1,3,15,1,30,175.964015,0.203662054,0,42,0,0,0,0,3.0033
2018,18,MIRAFLORES DEL PALO,4.78,1708,96,583995.2646,29.24681249,244,1060,404,23.01886792,38.11320755,61.13207547,92,0,12,17710.8836,2,2,8,61,1,8,0,0,0,133,0,0,0,1,3.2495
2018,19,EL DRAGO,5.93,559,18,32298.2367,173.0744639,92,347,120,26.5129683,34.58213256,61.09510086,27,2,2,14285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5445
2018,20,VILLA CRISTINA,4.99,458,17,39333.45093,116.4403298,84,265,109,31.69811321,41.13207547,72.83018868,24,2,7,17187,0,0,0,0,0,0,497.535211,1.086321421,0,0,0,0,0,0,3.0822
2018,21,ECHEVERRIA DEL PALO,7.33,2643,141,82986.91621,318.4839395,377,1543,723,24.43292288,46.85677252,71.2896954,134,0,16,13948.8538,55,56,8,56,0,0,0,0,0,0,0,0,0,4,2.5472
2018,22,SAN ISIDRO,6.66,600,15,104070.2925,57.65334042,71,333,196,21.32132132,58.85885886,80.18018018,18,1,5,16829,0,0,2,19,0,0,353.821464,0.58970244,0,0,0,0,0,0,3.4682
2018,23,SAN FRANCISCO,9.22,670,13,134000.6959,49.99974033,95,462,113,20.56277056,24.45887446,45.02164502,20,0,3,16829,0,2,1,4,0,0,0,0,0,0,0,0,0,0,3.3652
2018,24,PINARES DE SAN ANTÓN,8.05,931,66,973838.5702,9.560106043,153,596,182,25.67114094,30.53691275,56.20805369,58,0,5,21974.1289,0,1,7,63,0,0,2971.87076,3.192127562,0,0,0,0,0,0,3.3434
2018,25,LA MOSCA,4.82,1556,116,533442.112,29.16905068,244,1064,248,22.93233083,23.30827068,46.2406015,33,0,19,11351.2992,7,0,6,28,0,0,305.710726,0.196472189,0,0,0,0,6,1,2.9278
2018,26,VALLE DE LOS GALANES,5.54,1749,94,236604.8054,73.92073026,315,1107,327,28.45528455,29.53929539,57.99457995,73,1,14,17738.919,3,0,5,21,1,15,0,0,0,0,0,0,0,1,3.0971
2018,27,EL POLVORIN,8.19,403,22,71619.98306,56.26921186,67,288,48,23.26388889,16.66666667,39.93055556,13,1,2,18960,0,1,2,8,0,0,0,0,0,0,0,0,0,0,2.5503
2018,28,PEDREGALEJO,6.04,1915,115,341837.3252,56.02079874,296,1153,466,25.67215958,40.41630529,66.08846487,97,1,16,18134.0692,3,8,22,160,7,115,234.298453,0.122349062,0,0,0,0,16,3,2.7418
2018,29,LAS ACACIAS,6.96,1364,78,164415.0391,82.96078066,204,811,349,25.1541307,43.03329223,68.18742293,58,0,7,16324.4977,7,2,21,104,2,47,291.715372,0.213867575,0,0,0,0,0,0,2.9127
2018,30,PEDREGALEJO PLAYA,6.51,1626,105,172056.3127,94.50394318,239,1036,351,23.06949807,33.88030888,56.94980695,64,0,16,14257.5319,45,10,54,310,4,80,2617.360858,1.609693025,0,0,2,0,0,4,2.4299
2018,31,BAÑOS DEL CARMEN,11.43,60,2,57283.71242,10.47418149,10,33,17,30.3030303,51.51515152,81.81818182,3,0,0,16951,1,2,2,12,0,0,0,0,0,0,0,0,0,0,2.3077
2018,32,TORRE DE SAN TELMO,8.35,468,23,62479.12481,74.90501851,56,318,94,17.61006289,29.55974843,47.16981132,22,0,1,17010,5,2,30,129,1,24,0,0,0,0,0,0,0,0,2.4521
2018,33,LA VIÑA,13.53,280,14,41042.02289,68.22275811,46,198,36,23.23232323,18.18181818,41.41414141,13,0,2,17010,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4.5
2018,34,HACIENDA PAREDES,7.1,430,27,247284.5652,17.38887341,129,234,67,55.12820513,28.63247863,83.76068376,17,0,7,14557.0243,1,6,2,14,0,0,958.175823,2.228315867,0,0,0,0,0,1,3.708
2018,35,CERRADO DE CALDERON,6.74,6097,375,1421651.938,42.88672801,1108,4329,660,25.59482559,15.24601525,40.84084084,225,0,36,18004.4437,31,31,26,155,0,0,7093.563144,1.163451393,0,80,0,0,0,3,2.9841
2018,36,EL MORLACO,7.21,717,35,85880.52585,83.48807753,97,460,160,21.08695652,34.7826087,55.86956522,33,0,4,20246.6966,0,4,16,82,0,0,292.985301,0.40862664,0,524,0,0,0,1,2.507
2018,37,PARQUE DEL MORLACO,0,6,0,164948.6474,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1785.37298,0,0,15,0,0,0,0,0
2018,38,EL ROCIO,5.24,300,20,50333.5119,59.60243756,35,210,55,16.66666667,26.19047619,42.85714286,12,1,1,20523,0,0,2,5,0,0,0,0,0,286,0,0,0,0,2.8302
2018,39,LA TORRECILLA,6.78,292,17,77966.63935,37.45191564,50,184,58,27.17391304,31.52173913,58.69565217,15,1,5,20426.4323,0,0,3,16,0,0,0,0,0,303,0,0,0,0,2.7798
2018,40,PARQUE CLAVERO,0,1510,48,210600.0277,71.69989562,239,1163,108,20.55030095,9.286328461,29.83662941,83,1,15,20276.5283,1,2,2,23,0,0,1544.546898,1.02287874,0,1520,0,0,0,1,3.4467
2018,41,HACIENDA CLAVERO,8.34,794,28,187719.6131,42.29712532,212,550,32,38.54545455,5.818181818,44.36363636,26,0,5,20257,0,3,0,0,0,0,450.818739,0.567781787,0,790,0,0,0,0,3.5747
2018,42,LAS NIÑAS,2.71,0,0,382920.5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,43,EL MAYORAZGO,6.49,1564,51,411694.8453,37.98930247,376,939,249,40.04259851,26.51757188,66.56017039,51,0,18,19664.7543,3,2,2,20,0,0,213.085384,0.136243852,0,1146,0,0,0,1,3.5482
