ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2020,254,EL ATABAL,2.42,1364,62,566376.7892,24.08290781,167,870,327,19.1954023,37.5862069,56.7816092,49,2,8,17999,1,1,4,38,1,25,186.536114,0.136756682,0,0,0,0,0,0,3.1356
2020,255,EL CHAPARRAL,3.44,1542,39,183224.1388,84.15921667,332,1060,150,31.32075472,14.1509434,45.47169811,20,20,8,9720.7542,0,0,2,12,0,0,0,0,0,0,0,0,0,0,3.1794
2020,256,LAS MORILLAS PTO TORRE,3.05,1664,52,204533.1358,81.35601079,265,1127,272,23.51375333,24.13487134,47.64862467,37,30,16,9821,3,3,1,8,0,0,0,0,0,73,0,0,0,0,3.1103
2020,257,SANTA ISABEL PTO TORRE,6.22,796,36,99594.1751,79.92435293,124,532,140,23.30827068,26.31578947,49.62406015,10,8,10,12660.7186,0,2,0,0,0,0,0,0,0,122,0,0,0,1,3.0853
2020,258,PUERTOSOL,6.47,1255,22,577378.464,21.73617615,166,809,280,20.51915946,34.61063041,55.12978986,26,14,9,13325,2,6,4,30,0,0,0,0,0,0,0,0,0,0,3.429
2020,259,EL LIMONERO,0,399,5,70309.39167,56.7491754,31,283,85,10.9540636,30.03533569,40.98939929,5,6,2,12509,1,0,0,0,0,0,1087.595864,2.72580417,0,255,0,0,13,0,3.0458
2020,260,SALINAS,5.05,1019,33,120024.3826,84.89941611,179,706,134,25.35410765,18.98016997,44.33427762,15,15,5,10284,5,5,0,0,0,0,413.536074,0.405825392,0,0,0,0,0,0,2.8949
2020,261,LOS MORALES 1,2.82,791,43,139444.716,56.72498914,127,478,186,26.56903766,38.91213389,65.48117155,16,14,7,11331.3161,7,21,1,4,0,0,94.43929,0.119392276,0,675,0,0,2,2,2.9737
2020,262,FUENTE ALEGRE,3.59,1959,73,309948.1532,63.20411914,380,1323,256,28.72260015,19.34996221,48.07256236,32,22,22,9586.5038,3,3,0,0,0,0,440.092667,0.224651693,0,0,0,0,0,2,3.238
2020,263,HUERTA NUEVA-PTO TORRE,10.63,587,25,51412.67929,114.1741703,89,392,106,22.70408163,27.04081633,49.74489796,8,20,2,9475.3714,1,1,0,0,1,22,0,0,0,20,0,0,0,1,2.9646
2020,264,OROZCO,10.34,660,21,93748.55683,70.40108374,131,430,99,30.46511628,23.02325581,53.48837209,8,21,6,9566.1636,0,0,0,0,0,0,0,0,0,296,0,0,0,1,2.7848
2020,265,ARROYO ESPAÑA,2.51,616,26,298202.2488,20.65712121,98,432,86,22.68518519,19.90740741,42.59259259,9,15,2,10280.0601,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.9903
2020,266,HACIENDA CABELLO,1.78,1508,38,295720.6582,50.99407019,309,1065,134,29.01408451,12.58215962,41.59624413,194,16,10,7180,0,0,0,0,0,0,1540.041842,1.021247906,0,0,0,0,0,1,2.9744
2020,267,TEATINOS,5.18,3240,80,254005.3575,127.5563646,791,2180,269,36.28440367,12.33944954,48.62385321,136,5,26,13186.8191,22,18,7,38,0,0,1194.552648,0.368689089,0,3240,0,1,17,2,2.8929
2020,268,LA ALCUBILLA,0,197,2,93718.7114,21.02034877,14,118,65,11.86440678,55.08474576,66.94915254,4,11,3,10535,0,0,0,0,0,0,0,0,0,194,0,0,0,0,2.6622
