ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2016,1,LA ARAÑA,0,229,17,323892.4849,7.070247403,33,147,49,22.44897959,33.33333333,55.78231293,7,0,1,10767,2,2,0,0,0,0,687.310775,3.001357096,0,0,1,0,1,0,2.5697
2016,2,FABRICA CEMENTO,0,0,0,1146583.726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2016,3,JARAZMIN,4.29,684,23,539769.9039,12.67206628,150,476,58,31.51260504,12.18487395,43.69747899,27,0,12,14407,1,3,1,8,0,0,2037.11518,2.978238567,0,0,0,0,1,0,3.2085
2016,4,EL CANDADO,6.84,1414,91,711852.9705,19.86365245,198,974,242,20.32854209,24.84599589,45.17453799,57,0,4,14407,5,8,21,126,0,0,824.086115,0.58280489,0,385,0,0,0,1,2.8677
2016,5,PLAYA VIRGINIA,4.4,594,42,60083.06456,98.86313296,79,432,83,18.28703704,19.21296296,37.5,17,0,5,10767,2,2,10,60,0,0,512.981209,0.863604729,0,479,0,1,0,1,2.4815
2016,6,EL CHANQUETE,0,219,10,56036.9396,39.08136339,26,159,34,16.35220126,21.3836478,37.73584906,7,0,1,10767,5,1,4,24,0,0,0,0,0,219,0,0,0,0,2.8414
2016,7,FINCA EL CANDADO,0,12,1,79527.21618,1.508917397,2,9,1,22.22222222,11.11111111,33.33333333,0,0,0,7491.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
2016,8,CAMINO DE OLIAS,0,0,0,99823.11028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,9,PODADERA,0,230,6,45203.89082,50.88057595,32,145,53,22.06896552,36.55172414,58.62068966,2,0,2,6863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.585
2016,10,MIRAFLORES ALTO,6.26,627,20,233082.6382,26.90033049,213,392,22,54.33673469,5.612244898,59.94897959,5,1,8,15406.7703,0,0,2,12,0,0,0,0,0,0,0,0,0,0,3.5481
2016,11,VIRGEN DE LAS ANGUSTIAS,4.02,604,39,17984.429,335.8460812,118,389,97,30.33419023,24.93573265,55.26992288,5,0,5,6863,0,0,0,0,0,0,231.439875,0.383178601,0,0,0,0,0,2,2.8534
2016,12,LA PELUSILLA,2.02,332,31,48598.17141,68.31532758,45,207,80,21.73913043,38.647343,60.38647343,3,0,4,6863,0,0,3,20,2,83,0,0,0,108,0,0,0,1,2.5715
2016,13,LA PELUSA,5.98,820,41,77160.91932,106.271414,110,528,182,20.83333333,34.46969697,55.3030303,15,2,5,8711.9402,2,6,0,0,0,0,0,0,0,810,0,0,0,1,2.6043
2016,14,MIRAMAR DEL PALO,8.83,581,56,33390.3662,174.0022845,79,429,73,18.41491841,17.01631702,35.43123543,17,1,3,8536,2,4,4,22,0,0,245.926938,0.423282165,1,581,0,0,0,0,2.6701
2016,15,PLAYAS DEL PALO,6.72,905,58,171181.9648,52.86771893,100,567,238,17.6366843,41.97530864,59.61199295,7,0,6,7008.8641,15,1,19,97,0,0,3345.296574,3.696460303,0,474,0,0,0,2,2.851
2016,16,EL PALO,6.24,10301,1171,366257.4616,281.2502428,1546,6967,1788,22.19032582,25.66384384,47.85416966,218,0,81,8636.5995,37,123,57,288,3,74,1423.4607,0.138186652,0,4693,2,0,6,26,2.7734
2016,17,LAS CUEVAS,5.71,872,48,41002.23801,212.671318,144,597,131,24.12060302,21.94304858,46.06365159,13,1,11,7277.6881,0,0,3,15,1,30,175.964015,0.201793595,0,43,0,0,0,0,3.3105
