ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2015,1,LA ARAÑA,0.97,233,23,323892.48,7.19,36,145,48,24.82758621,35.86206897,60.68965517,7,0,2,10216,0,2,0,0,0,0,687,2.95,0,0,1,0,3,1,2.6334
2015,2,FABRICA CEMENTO,0,0,0,1146583.73,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2015,3,JARAZMIN,4.37,688,27,539769.9,12.75,156,458,58,34.06113537,13.5371179,47.59825328,27,0,13,14481,3,1,1,8,0,0,2037,2.96,0,0,0,0,2,0,3.2461
2015,4,EL CANDADO,7.69,1450,130,711852.97,20.37,218,976,234,22.33606557,26.2295082,48.56557377,57,0,3,14481,10,5,21,126,0,0,824,0.57,0,392,0,0,0,4,2.9117
2015,5,PLAYA VIRGINIA,4.49,600,52,60083.06,99.86,74,436,80,16.97247706,20.64220183,37.6146789,17,0,3,10216,1,2,10,60,0,0,513,0.85,0,483,0,1,2,1,2.4804
2015,6,EL CHANQUETE,0,231,15,56036.94,41.22,28,168,32,16.66666667,20.83333333,37.5,7,0,3,10216,0,5,4,24,0,0,0,0.00,0,231,0,0,2,0,2.879
2015,7,FINCA EL CANDADO,0,13,1,79527.22,1.63,2,9,2,22.22222222,22.22222222,44.44444444,0,0,0,7185,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3
2015,8,CAMINO DE OLIAS,0,0,0,99823.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,9,PODADERA,0,216,4,45203.89,47.78,30,133,50,22.55639098,39.84962406,62.40601504,2,0,0,6577,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2.5683
2015,10,MIRAFLORES ALTO,5.21,595,21,233082.64,25.53,208,368,18,56.52173913,5.163043478,61.68478261,5,1,8,6748.6252,0,0,2,12,0,0,0,0.00,0,0,0,0,1,0,3.5695
2015,11,VIRGEN DE LAS ANGUSTIAS,3.49,595,30,17984.43,330.84,116,379,94,30.60686016,26.38522427,56.99208443,5,0,1,6577,0,0,0,0,0,0,231,0.39,0,0,0,0,1,1,2.7925
2015,12,LA PELUSILLA,2.3,340,24,48598.17,69.96,42,212,83,19.81132075,40.56603774,60.37735849,3,0,2,6577,1,0,3,20,2,83,0,0.00,0,112,0,0,0,2,2.512
2015,13,LA PELUSA,5.76,831,57,77160.92,107.7,115,525,186,21.9047619,36.38095238,58.28571429,15,2,6,8365.0638,5,2,0,0,0,0,0,0.00,0,822,0,0,0,2,2.5705
2015,14,MIRAMAR DEL PALO,8.12,560,35,33390.37,167.71,74,410,74,18.04878049,18.53658537,36.58536585,17,1,2,8395,1,2,4,22,0,0,246,0.44,1,560,0,0,0,1,2.6718
2015,15,PLAYAS DEL PALO,6.46,957,91,171181.96,55.91,115,597,236,19.26298157,41.03852596,60.30150754,7,0,6,6588.0658,0,15,19,97,0,0,3345,3.50,0,497,0,0,4,1,2.9159
2015,16,EL PALO,5.92,10328,1228,366257.46,281.99,1576,6865,1797,22.9570284,27.48725419,50.44428259,218,0,86,8341.4986,66,37,57,288,3,74,1423,0.14,0,4692,2,0,6,29,2.8054
2015,17,LAS CUEVAS,3.78,880,58,41002.24,214.62,136,608,126,22.36842105,22.36842105,44.73684211,13,1,6,6970.9205,6,0,3,15,1,30,176,0.20,0,43,0,0,0,0,3.4641
2015,18,MIRAFLORES DEL PALO,3.79,1688,77,583995.26,28.9,227,1059,359,21.43531634,37.11048159,58.54579792,92,0,15,15501.5188,12,0,8,61,1,8,0,0.00,0,134,0,0,0,1,3.254
