ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2017,1,LA ARAÑA,3.7,246,15,323892.4849,7.59511293,40,151,55,26.49006623,36.42384106,62.91390728,7,0,1,10423,3,1,0,0,0,0,687.310775,2.79394624,0,0,1,0,1,0,2.506
2017,2,FABRICA CEMENTO,0,0,0,1146583.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2017,3,JARAZMIN,4.28,690,28,539769.9039,12.78322476,157,473,60,33.19238901,12.68498943,45.87737844,27,0,10,15150,1,3,1,8,0,0,2037.11518,2.952340841,0,0,0,0,1,0,3.1709
2017,4,EL CANDADO,7.52,1415,103,711852.9705,19.87770029,199,927,289,21.46709817,31.17583603,52.6429342,57,0,8,15150,3,8,21,126,0,0,824.086115,0.582393014,0,378,0,0,0,2,2.8237
2017,5,PLAYA VIRGINIA,4.56,588,37,60083.06456,97.86451545,68,418,102,16.26794258,24.40191388,40.66985646,17,0,3,10423,1,2,10,60,0,0,512.981209,0.872417022,0,470,0,1,0,0,2.4826
2017,6,EL CHANQUETE,0,209,7,56036.9396,37.29682625,24,144,41,16.66666667,28.47222222,45.13888889,7,0,2,10423,8,0,4,24,0,0,0,0,0,209,0,0,0,0,2.8038
2017,7,FINCA EL CANDADO,0,12,1,79527.21618,1.508917397,1,10,1,10,10,20,0,0,0,7884.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
2017,8,CAMINO DE OLIAS,0,0,0,99823.11028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9,PODADERA,0,211,5,45203.89082,46.67739794,25,132,54,18.93939394,40.90909091,59.84848485,2,0,0,7224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6017
2017,10,MIRAFLORES ALTO,7.67,639,18,233082.6382,27.41516935,212,398,29,53.26633166,7.286432161,60.55276382,5,1,9,16448.939,0,0,2,12,0,0,0,0,0,0,0,0,0,0,3.5267
